ID_img,class
0.jpg,5
1.jpg,5
2.jpg,1
3.jpg,1
4.jpg,6
5.jpg,3
6.jpg,7
7.jpg,3
8.jpg,3
9.jpg,5
10.jpg,1
11.jpg,1
12.jpg,7
13.jpg,5
14.jpg,4
15.jpg,4
16.jpg,3
17.jpg,1
18.jpg,4
19.jpg,4
20.jpg,4
21.jpg,1
22.jpg,1
23.jpg,5
24.jpg,6
25.jpg,1
26.jpg,7
27.jpg,3
28.jpg,1
29.jpg,3
30.jpg,4
31.jpg,0
32.jpg,4
33.jpg,7
34.jpg,1
35.jpg,1
36.jpg,1
37.jpg,4
38.jpg,3
39.jpg,5
40.jpg,2
41.jpg,4
42.jpg,3
43.jpg,1
44.jpg,2
45.jpg,2
46.jpg,1
47.jpg,1
48.jpg,3
49.jpg,7
50.jpg,5
51.jpg,4
52.jpg,3
53.jpg,2
54.jpg,2
55.jpg,2
56.jpg,3
57.jpg,1
58.jpg,1
59.jpg,1
60.jpg,7
61.jpg,6
62.jpg,0
63.jpg,1
64.jpg,1
65.jpg,3
66.jpg,1
67.jpg,3
68.jpg,1
69.jpg,1
70.jpg,3
71.jpg,1
72.jpg,1
73.jpg,3
74.jpg,3
75.jpg,1
76.jpg,1
77.jpg,3
78.jpg,1
79.jpg,1
80.jpg,4
81.jpg,1
82.jpg,4
83.jpg,3
84.jpg,0
85.jpg,3
86.jpg,4
87.jpg,4
88.jpg,3
89.jpg,3
90.jpg,4
91.jpg,3
92.jpg,5
93.jpg,5
94.jpg,1
95.jpg,1
96.jpg,4
97.jpg,1
98.jpg,4
99.jpg,5
100.jpg,1
101.jpg,4
102.jpg,1
103.jpg,3
104.jpg,3
105.jpg,7
106.jpg,0
107.jpg,2
108.jpg,6
109.jpg,5
110.jpg,1
111.jpg,4
112.jpg,1
113.jpg,2
114.jpg,1
115.jpg,7
116.jpg,4
117.jpg,1
118.jpg,5
119.jpg,2
120.jpg,1
121.jpg,1
122.jpg,1
123.jpg,3
124.jpg,1
125.jpg,2
126.jpg,1
127.jpg,1
128.jpg,3
129.jpg,0
130.jpg,2
131.jpg,3
132.jpg,3
133.jpg,6
134.jpg,3
135.jpg,3
136.jpg,4
137.jpg,0
138.jpg,4
139.jpg,3
140.jpg,0
141.jpg,1
142.jpg,5
143.jpg,3
144.jpg,1
145.jpg,4
146.jpg,4
147.jpg,5
148.jpg,1
149.jpg,6
150.jpg,2
151.jpg,2
152.jpg,3
153.jpg,6
154.jpg,1
155.jpg,5
156.jpg,4
157.jpg,3
158.jpg,5
159.jpg,4
160.jpg,3
161.jpg,0
162.jpg,4
163.jpg,4
164.jpg,1
165.jpg,6
166.jpg,4
167.jpg,3
168.jpg,5
169.jpg,1
170.jpg,3
171.jpg,1
172.jpg,1
173.jpg,4
174.jpg,2
175.jpg,4
176.jpg,1
177.jpg,3
178.jpg,5
179.jpg,3
180.jpg,1
181.jpg,3
182.jpg,0
183.jpg,5
184.jpg,2
185.jpg,3
186.jpg,6
187.jpg,1
188.jpg,1
189.jpg,3
190.jpg,3
191.jpg,3
192.jpg,5
193.jpg,3
194.jpg,7
195.jpg,0
196.jpg,1
197.jpg,1
198.jpg,1
199.jpg,2
200.jpg,0
201.jpg,1
202.jpg,6
203.jpg,1
204.jpg,1
205.jpg,3
206.jpg,1
207.jpg,4
208.jpg,6
209.jpg,2
210.jpg,4
211.jpg,0
212.jpg,7
213.jpg,1
214.jpg,1
215.jpg,1
216.jpg,3
217.jpg,5
218.jpg,1
219.jpg,3
220.jpg,1
221.jpg,1
222.jpg,5
223.jpg,1
224.jpg,0
225.jpg,1
226.jpg,3
227.jpg,4
228.jpg,1
229.jpg,5
230.jpg,1
231.jpg,7
232.jpg,3
233.jpg,4
234.jpg,1
235.jpg,2
236.jpg,1
237.jpg,0
238.jpg,1
239.jpg,3
240.jpg,3
241.jpg,1
242.jpg,0
243.jpg,3
244.jpg,4
245.jpg,3
246.jpg,4
247.jpg,3
248.jpg,3
249.jpg,4
250.jpg,1
251.jpg,1
252.jpg,1
253.jpg,3
254.jpg,1
255.jpg,1
256.jpg,5
257.jpg,1
258.jpg,4
259.jpg,3
260.jpg,4
261.jpg,3
262.jpg,1
263.jpg,6
264.jpg,6
265.jpg,1
266.jpg,1
267.jpg,1
268.jpg,0
269.jpg,3
270.jpg,5
271.jpg,5
272.jpg,4
273.jpg,2
274.jpg,0
